canonical_song_id,canonical_title,canonical_artist,canonical_entry_count,alias_song_title,alias_artist,alias_entry_count,week_count,first_chart_date,last_chart_date
1344,I'm Going for Mine,Keith Sweat,40,I'm Going For Mine,Keith Sweat,13,13,2017-10-17,2018-10-30
2514,Sons... I Got the Hook-Up [R&B],Sons of Funk,40,Sons... I Got the Hook-Up [R&B],Sons of Funk,34,34,2009-03-10,2009-10-27
2514,Sons... I Got the Hook-Up [R&B],Sons of Funk,40,Sons... I Got The Hook-Up [R&B],Sons of Funk,6,6,2019-06-11,2022-07-12
1789,Money Longer,Lil Uzi Vert,39,Money Longer,Lil Uzi Vert,32,32,2016-10-25,2017-05-30
1789,Money Longer,Lil Uzi Vert,39,Money Longer,Lil' Uzi Vert,7,7,2016-09-13,2020-10-11
1847,My Star,Akiese feat. Young Joe,39,My Star,Akiese feat. Young Joe,38,38,2012-02-07,2016-12-20
1847,My Star,Akiese feat. Young Joe,39,My Star,Akiese featuring Young Joe,1,1,2012-09-25,2012-09-25
1383,In the Now,Barry Gibb,38,In the Now,Barry Gibb,37,37,2016-11-08,2019-02-12
1383,In the Now,Barry Gibb,38,In The Now,Barry Gibb,1,1,2017-01-24,2017-01-24
694,Don't Play With Love,Levelle,37,Don't Play With Love,Levelle,36,36,2022-04-19,2022-12-27
694,Don't Play With Love,Levelle,37,Don't Play With Love,LeVelle,1,1,2022-05-17,2022-05-17
2155,Put It on Paper,Ann Nesby feat. Al Green,37,Put It on Paper,Ann Nesby feat. Al Green,23,23,2022-02-08,2022-07-12
2155,Put It on Paper,Ann Nesby feat. Al Green,37,Put It On Paper,Ann Nesby feat. Al Green,14,14,2022-11-15,2023-02-14
